p_name, 'Peridinium', 'cyano', 'green', 'karlodinium', 'phy05', 'phy06', 'diatom', 'crypto', 'cryptophyte', 'chlorophyte', 'synechococcus', 'MICROCYSTIS', 'Cyanobacteria', 'Cyanobacteria', 'n_spumigena', 'Peridinium', 'Microcystis', 'Microcystis(1)', 'Aphanizomenon', 'Nanoplankton', 'Cayelan_Test',string, Name of phytoplankton group,
`simIPDynamics`,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,integer, Simulate internal phosphorus dynamics (0 = assumed fixed C:P, 2 = dynamic C:P)
`P_0`,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,real, Phosphorus concentraion below which uptake is 0 (mmol P/m^3^),
`K_P`,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.0000774,0.15,0.000058,0.0000387,0.0000451,0.0000387,real, Half-saturation concentration of phosphorus (mmol P/m^3^),
`X_pcon`,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,real, Constant internal phosphorus concentration (mmol P/ mmol C) used if simIPDynamics = 0 or 1,
`X_pmin`,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0,0.0005,0.003,0.006,0.003,0.006,real, Minimum internal phosphorus concentration (mmol P/mmol C) used if simIPDynamics = 2,
`X_pmax`,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.001,0.005,0.019,0.502,0.012,0.502,real, Maximum internal phosphorus concentration (mmol P/mmol C) used if simIPDynamics = 2,
`R_puptake`,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,real, Maximum phosphorus uptake rate(mmol P/m^3^/d) used if simIPDynamics = 2,
SILICA parameter,,,,,,,,,,,,,,,,,,,,,,,,
`simSiUptake`,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,integer, Simulate Si uptake (0 = false, 1 = true)
`Si_0`,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,real, Silica concentraion below which uptake is 0 (mmol Si/m^3^),
`K_Si`,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,real, Half-saturation concentration of silica (mmol Si /m3),
`X_sicon`,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,real, Constant interal silica concentration (mmol Si/mmol C),
